movieID,genreID
tt10872600,g00
tt10872600,g01
tt10872600,g02
tt1877830,g00
tt1877830,g03
tt1877830,g04
tt1160419,g00
tt1160419,g01
tt1160419,g04
tt1745960,g00
tt1745960,g04
tt10811166,g04
tt11286314,g05
tt11286314,g04
tt11286314,g06
tt6723592,g00
tt6723592,g06
tt6723592,g07
tt6710474,g00
tt6710474,g01
tt6710474,g05
tt9419884,g00
tt9419884,g01
tt9419884,g02
tt2382320,g00
tt2382320,g01
tt2382320,g07
tt12361974,g00
tt12361974,g01
tt12361974,g02
tt9376612,g00
tt9376612,g01
tt9376612,g02
tt1630029,g00
tt1630029,g01
tt1630029,g02
tt3480822,g00
tt3480822,g01
tt3480822,g06
tt11564570,g05
tt11564570,g03
tt11564570,g04
tt6264654,g00
tt6264654,g01
tt6264654,g05
tt6334354,g00
tt6334354,g01
tt6334354,g05
tt10648342,g00
tt10648342,g01
tt10648342,g05
tt12593682,g00
tt12593682,g05
tt12593682,g07
tt9032400,g00
tt9032400,g01
tt9032400,g02
